customer_id,product_id,category,purchase_amount,original_price,discount_rate,order_date
8270,464,Toys,239.1,326.32,0.27,2023-01-01 00:00:00
1860,676,Books,235.15,317.97,0.26,2023-01-01 01:00:00
6390,425,Books,328.46,360.57,0.09,2023-01-01 02:00:00
6191,680,Fashion,238.18,256.19,0.07,2023-01-01 03:00:00
6734,732,Home & Kitchen,76.02,95.85,0.21,2023-01-01 04:00:00
7265,720,Books,256.36,353.41,0.27,2023-01-01 05:00:00
1466,927,Books,453.86,522.82,0.13,2023-01-01 06:00:00
5426,346,Books,83.92,92.96000000000001,0.1,2023-01-01 07:00:00
6578,533,Electronics,346.43,364.42,0.05,2023-01-01 08:00:00
9322,192,Books,298.96,350.10999999999996,0.15,2023-01-01 09:00:00
2685,367,Books,375.55,400.29,0.06,2023-01-01 10:00:00
1769,714,Toys,79.55,160.89999999999998,0.51,2023-01-01 11:00:00
7949,723,Electronics,471.09,530.55,0.11,2023-01-01 12:00:00
3433,420,Books,312.38,375.58,0.17,2023-01-01 13:00:00
6311,915,Books,424.3,473.27,0.1,2023-01-01 14:00:00
6051,955,Fashion,127.07,156.39999999999998,0.19,2023-01-01 15:00:00
7420,161,Fashion,371.01,432.0,0.14,2023-01-01 16:00:00
2184,399,Electronics,391.61,464.72,0.16,2023-01-01 17:00:00
5555,502,Toys,201.73,241.97,0.17,2023-01-01 18:00:00
4385,747,Electronics,195.06,248.03,0.21,2023-01-01 19:00:00
7396,666,Electronics,330.61,415.38,0.2,2023-01-01 20:00:00
9666,719,Fashion,51.24,70.36,0.27,2023-01-01 21:00:00
3558,402,Fashion,369.13,425.93,0.13,2023-01-01 22:00:00
8849,869,Toys,26.23,64.33,0.59,2023-01-01 23:00:00
3047,352,Books,99.34,171.11,0.42,2023-01-02 00:00:00
3747,833,Toys,333.75,340.54,0.02,2023-01-02 01:00:00
1189,577,Books,53.67,122.36,0.56,2023-01-02 02:00:00
3734,468,Home & Kitchen,486.06,500.84,0.03,2023-01-02 03:00:00
4005,778,Fashion,434.86,446.01,0.02,2023-01-02 04:00:00
5658,259,Home & Kitchen,315.02,388.86,0.19,2023-01-02 05:00:00
2899,265,Home & Kitchen,410.43,476.26,0.14,2023-01-02 06:00:00
8734,304,Fashion,444.35,534.37,0.17,2023-01-02 07:00:00
2267,366,Home & Kitchen,133.44,187.81,0.29,2023-01-02 08:00:00
2528,237,Electronics,425.46,480.81,0.12,2023-01-02 09:00:00
4556,467,Books,101.42,173.59,0.42,2023-01-02 10:00:00
4890,542,Toys,209.6,245.32,0.15,2023-01-02 11:00:00
9838,957,Fashion,281.34,289.84999999999997,0.03,2023-01-02 12:00:00
6393,859,Electronics,358.38,385.23,0.07,2023-01-02 13:00:00
9792,666,Toys,19.92,47.53,0.58,2023-01-02 14:00:00
9433,820,Toys,148.8,185.69,0.2,2023-01-02 15:00:00
8513,116,Toys,306.22,400.85,0.24,2023-01-02 16:00:00
3612,167,Home & Kitchen,181.9,263.36,0.31,2023-01-02 17:00:00
8041,232,Home & Kitchen,388.64,482.56,0.19,2023-01-02 18:00:00
7235,799,Home & Kitchen,327.57,427.44,0.23,2023-01-02 19:00:00
6486,529,Home & Kitchen,121.03,167.24,0.28,2023-01-02 20:00:00
8099,407,Electronics,77.23,103.80000000000001,0.26,2023-01-02 21:00:00
1775,749,Home & Kitchen,316.38,374.58,0.16,2023-01-02 22:00:00
9226,273,Fashion,227.98,316.69,0.28,2023-01-02 23:00:00
4152,511,Toys,88.63,137.87,0.36,2023-01-03 00:00:00
2585,196,Electronics,166.56,219.57,0.24,2023-01-03 01:00:00
4943,782,Home & Kitchen,155.01,172.78,0.1,2023-01-03 02:00:00
8555,253,Toys,58.53,103.47,0.43,2023-01-03 03:00:00
4073,794,Electronics,275.72,317.48,0.13,2023-01-03 04:00:00
2021,341,Toys,383.01,421.41999999999996,0.09,2023-01-03 05:00:00
4843,403,Electronics,289.86,379.15000000000003,0.24,2023-01-03 06:00:00
8989,384,Books,414.01,424.64,0.03,2023-01-03 07:00:00
7873,126,Electronics,68.15,165.5,0.59,2023-01-03 08:00:00
6675,501,Home & Kitchen,220.63,226.41,0.03,2023-01-03 09:00:00
1161,459,Toys,306.66,401.49,0.24,2023-01-03 10:00:00
5297,159,Toys,339.62,396.68,0.14,2023-01-03 11:00:00
1995,301,Toys,349.41,421.14000000000004,0.17,2023-01-03 12:00:00
8629,861,Fashion,365.84,388.62,0.06,2023-01-03 13:00:00
2016,973,Fashion,327.46,394.61,0.17,2023-01-03 14:00:00
8869,680,Home & Kitchen,51.64,140.43,0.63,2023-01-03 15:00:00
7439,469,Books,349.18,367.43,0.05,2023-01-03 16:00:00
8892,632,Fashion,363.77,380.84,0.04,2023-01-03 17:00:00
7863,251,Electronics,496.77,530.65,0.06,2023-01-03 18:00:00
8916,201,Home & Kitchen,348.21,368.57,0.06,2023-01-03 19:00:00
9529,998,Books,344.98,360.49,0.04,2023-01-03 20:00:00
1878,706,Electronics,259.83,329.27,0.21,2023-01-03 21:00:00
5887,545,Toys,434.62,459.93,0.06,2023-01-03 22:00:00
5859,972,Fashion,498.43,566.8,0.12,2023-01-03 23:00:00
7331,328,Electronics,390.63,477.51,0.18,2023-01-04 00:00:00
9571,224,Books,308.19,375.13,0.18,2023-01-04 01:00:00
9684,869,Home & Kitchen,44.08,60.42,0.27,2023-01-04 02:00:00
8208,933,Electronics,364.74,424.23,0.14,2023-01-04 03:00:00
6276,980,Home & Kitchen,355.74,398.13,0.11,2023-01-04 04:00:00
3062,335,Toys,388.91,426.53000000000003,0.09,2023-01-04 05:00:00
1064,261,Books,66.65,101.91,0.35,2023-01-04 06:00:00
9006,653,Books,328.6,421.90000000000003,0.22,2023-01-04 07:00:00
3568,887,Fashion,151.38,226.92000000000002,0.33,2023-01-04 08:00:00
6463,452,Books,381.33,399.04999999999995,0.04,2023-01-04 09:00:00
3027,167,Electronics,123.99,174.20999999999998,0.29,2023-01-04 10:00:00
3695,272,Electronics,343.57,378.8,0.09,2023-01-04 11:00:00
6258,942,Electronics,151.02,248.92000000000002,0.39,2023-01-04 12:00:00
6618,736,Toys,9.45,107.36,0.91,2023-01-04 13:00:00
7736,781,Books,318.51,353.87,0.1,2023-01-04 14:00:00
1391,658,Books,61.07,99.52000000000001,0.39,2023-01-04 15:00:00
6892,360,Electronics,331.35,393.29,0.16,2023-01-04 16:00:00
4561,316,Fashion,463.18,513.71,0.1,2023-01-04 17:00:00
7184,916,Fashion,484.78,510.02,0.05,2023-01-04 18:00:00
4099,223,Books,121.78,189.51999999999998,0.36,2023-01-04 19:00:00
7278,904,Books,405.58,442.32,0.08,2023-01-04 20:00:00
9392,261,Home & Kitchen,180.01,247.10999999999999,0.27,2023-01-04 21:00:00
4104,300,Books,450.73,492.18,0.08,2023-01-04 22:00:00
8215,553,Electronics,394.81,466.33,0.15,2023-01-04 23:00:00
3454,501,Toys,41.59,110.03,0.62,2023-01-05 00:00:00
9996,561,Books,206.53,259.87,0.21,2023-01-05 01:00:00
3731,374,Books,171.97,243.92000000000002,0.29,2023-01-05 02:00:00
9154,305,Electronics,393.66,442.45000000000005,0.11,2023-01-05 03:00:00
6056,139,Home & Kitchen,208.09,224.12,0.07,2023-01-05 04:00:00
9110,372,Books,343.87,366.17,0.06,2023-01-05 05:00:00
4840,799,Fashion,303.21,331.58,0.09,2023-01-05 06:00:00
2028,966,Fashion,487.94,498.95,0.02,2023-01-05 07:00:00
8385,192,Fashion,469.2,541.78,0.13,2023-01-05 08:00:00
1502,141,Toys,216.71,256.61,0.16,2023-01-05 09:00:00
7910,564,Toys,363.17,377.05,0.04,2023-01-05 10:00:00
7938,478,Books,415.58,498.48,0.17,2023-01-05 11:00:00
5488,206,Books,449.95,519.9,0.13,2023-01-05 12:00:00
1206,427,Books,38.73,86.69,0.55,2023-01-05 13:00:00
6134,164,Toys,154.53,183.04,0.16,2023-01-05 14:00:00
6977,464,Books,163.51,182.93,0.11,2023-01-05 15:00:00
8721,920,Electronics,220.05,268.6,0.18,2023-01-05 16:00:00
8035,583,Home & Kitchen,88.79,177.89,0.5,2023-01-05 17:00:00
2484,746,Fashion,250.62,273.52,0.08,2023-01-05 18:00:00
8858,123,Fashion,333.29,392.31,0.15,2023-01-05 19:00:00
1863,639,Electronics,251.2,347.56,0.28,2023-01-05 20:00:00
3790,161,Books,334.57,400.1,0.16,2023-01-05 21:00:00
8408,590,Toys,37.89,84.69,0.55,2023-01-05 22:00:00
